icao,aerodrome_name,timestamp_utc,station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,cloud_coverage,air_temperature,dew_point_temperature,altimeter,current_wx1_symbol,current_wx2_symbol,current_wx3_symbol,remarks,air_pressure_at_sea_level,eastward_wind,northward_wind,raw_metar
SPSO,Pisco,2025-01-01 00:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 00:00:00,340.0,4.0,,9999.0,,,,BKN,8000.0,,,,,,,6.0,22.0,18.0,29.91,0.0,0.0,0.0,PP000,1013.27,1.3680805733026744,-3.7587704831436337,202501010000 METAR SPSO 010000Z 34004KT 9999 BKN080 22/18 Q1013 RMK PP000=
SPSO,Pisco,2025-01-01 01:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 01:00:00,340.0,3.0,,8000.0,,,,BKN,8000.0,,,,,,,6.0,22.0,18.0,29.91,0.0,0.0,0.0,PP000,1013.27,1.0260604299770058,-2.8190778623577253,202501010100 METAR SPSO 010100Z 34003KT 310V010 8000 BKN080 22/18 Q1013 RMK PP000=
SPSO,Pisco,2025-01-01 02:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 02:00:00,280.0,3.0,,8000.0,,,,FEW,8000.0,,,,,,,2.0,22.0,19.0,29.94,0.0,0.0,0.0,PP000,1014.27,2.9544232590366244,-0.5209445330007899,202501010200 METAR SPSO 010200Z 28003KT 250V320 8000 FEW080 22/19 Q1014 RMK PP000=
SPSO,Pisco,2025-01-01 03:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 03:00:00,240.0,4.0,,9999.0,,,,FEW,8000.0,,,,,,,2.0,21.0,18.0,29.94,0.0,0.0,0.0,PP000,1014.28,3.4641016151377535,2.0000000000000018,202501010300 METAR SPSO 010300Z 24004KT 9999 FEW080 21/18 Q1014 RMK PP000=
SPSO,Pisco,2025-01-01 04:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 04:00:00,230.0,4.0,,10000.0,,,,,,,,,,,,0.0,21.0,17.0,29.94,0.0,0.0,0.0,PP000,1014.28,3.0641777724759116,2.571150438746158,202501010400 METAR SPSO 010400Z 23004KT CAVOK 21/17 Q1014 RMK PP000=
SPSO,Pisco,2025-01-01 05:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 05:00:00,0.0,0.0,,10000.0,,,,,,,,,,,,0.0,21.0,18.0,,0.0,0.0,0.0,1014 RMK PP000,,-0.0,-0.0,202501010500 METAR SPSO 010500Z 00000KT CAVOK 21/18 1014 RMK PP000=
SPSO,Pisco,2025-01-01 06:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 06:00:00,210.0,3.0,,10000.0,,,,,,,,,,,,0.0,21.0,17.0,29.91,0.0,0.0,0.0,PP000,1013.28,1.5000000000000004,2.598076211353316,202501010600 METAR SPSO 010600Z 21003KT 160V240 CAVOK 21/17 Q1013 RMK PP000=
SPSO,Pisco,2025-01-01 07:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 07:00:00,200.0,4.0,,10000.0,,,,,,,,,,,,0.0,21.0,17.0,29.91,0.0,0.0,0.0,PP000,1013.28,1.3680805733026746,3.7587704831436337,202501010700 METAR SPSO 010700Z 20004KT CAVOK 21/17 Q1013 RMK PP000=
SPSO,Pisco,2025-01-01 08:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 08:00:00,200.0,4.0,,10000.0,,,,,,,,,,,,0.0,21.0,17.0,29.91,0.0,0.0,0.0,PP000,1013.28,1.3680805733026746,3.7587704831436337,202501010800 METAR SPSO 010800Z 20004KT CAVOK 21/17 Q1013 RMK PP000=
SPSO,Pisco,2025-01-01 09:00:00,SPSO,-13.73,-76.22,10.0,2026-05-01 09:00:00,210.0,6.0,,10000.0,,,,,,,,,,,,0.0,20.0,17.0,29.88,0.0,0.0,0.0,PP000,1012.28,3.000000000000001,5.196152422706632,202501010900 METAR SPSO 010900Z 21006KT CAVOK 20/17 Q1012 RMK PP000=
